identifier,date,report,desc,title,for,against,abstention,no_show,excused
171503,2025-01-23,,,§ 9,,,,627,12
171509,2025-01-23,,,Recital H,,,,627,12
171513,2025-01-23,B10-0074/2025,,B10-0074/2025,,,,627,12
171514,2025-01-23,B10-0075/2025,,B10-0075/2025,,,,627,12
171515,2025-01-23,B10-0076/2025,,B10-0076/2025,,,,627,12
171516,2025-01-23,B10-0077/2025,,B10-0077/2025,,,,627,12
171517,2025-01-23,B10-0079/2025,,B10-0079/2025,,,,627,12
171525,2025-01-23,,,After recital E,139,366,104,627,12
171528,2025-01-23,B10-0087/2025,,B10-0087/2025,,,,627,12
171529,2025-01-23,B10-0088/2025,,B10-0088/2025,,,,627,12
171530,2025-01-23,B10-0089/2025,,B10-0089/2025,,,,627,12
171531,2025-01-23,B10-0090/2025,,B10-0090/2025,,,,627,12
171532,2025-01-23,B10-0091/2025,,B10-0091/2025,,,,627,12
171533,2025-01-23,B10-0092/2025,,B10-0092/2025,,,,627,12
171534,2025-01-23,B10-0093/2025,,B10-0093/2025,,,,627,12
171537,2025-01-23,,,§ 7,,,,627,12
171540,2025-01-23,,,Motion for a resolution (as a whole),,,,627,12
171542,2025-01-23,B10-0065/2025,,B10-0065/2025,,,,627,12
171543,2025-01-23,B10-0069/2025,,B10-0069/2025,,,,627,12
171544,2025-01-23,B10-0070/2025,,B10-0070/2025,,,,627,12
171545,2025-01-23,B10-0072/2025,,B10-0072/2025,,,,627,12
171546,2025-01-23,B10-0078/2025,,B10-0078/2025,,,,627,12
171547,2025-01-23,B10-0081/2025,,B10-0081/2025,,,,627,12
171548,2025-01-23,B10-0084/2025,,B10-0084/2025,,,,627,12
171552,2025-01-23,,,After § 6,282,307,18,627,12
171556,2025-01-23,B10-0063/2025,,B10-0063/2025,,,,627,12
171557,2025-01-23,B10-0066/2025,,B10-0066/2025,,,,627,12
171558,2025-01-23,B10-0067/2025,,B10-0067/2025,,,,627,12
171559,2025-01-23,B10-0073/2025,,B10-0073/2025,,,,627,12
171560,2025-01-23,B10-0082/2025,,B10-0082/2025,,,,627,12
171561,2025-01-23,B10-0085/2025,,B10-0085/2025,,,,627,12
171562,2025-01-23,B10-0086/2025,,B10-0086/2025,,,,627,12
171563,2025-01-23 12:16:26,RC-B10-0064/2025,,§ 1,518,41,37,31,12
171564,2025-01-23 12:16:40,RC-B10-0064/2025,,Après le § 1 - Am 2,148,285,23,171,12
171566,2025-01-23 12:16:56,RC-B10-0064/2025,,§ 2/1,480,112,16,19,12
171567,2025-01-23 12:17:07,RC-B10-0064/2025,,§ 2/2,321,219,66,21,12
171568,2025-01-23 12:17:19,RC-B10-0064/2025,,Après le § 2 - Am 3,148,294,12,173,12
171569,2025-01-23 12:17:32,RC-B10-0064/2025,,§ 4,521,66,14,26,12
171571,2025-01-23 12:17:45,RC-B10-0064/2025,,§ 5/1,467,116,21,23,12
171572,2025-01-23 12:17:55,RC-B10-0064/2025,,§ 5/2,322,249,36,20,12
171573,2025-01-23 12:18:06,RC-B10-0064/2025,,§ 5/3,555,12,40,20,12
171575,2025-01-23,,,§ 6,,,,627,12
171576,2025-01-23,,,§ 6,,,,627,12
171577,2025-01-23 12:18:37,RC-B10-0064/2025,,Après le § 7 - Am 1,210,133,26,258,12
171578,2025-01-23 12:18:52,RC-B10-0064/2025,,Après le § 8 - Am 5,151,419,33,24,12
171579,2025-01-23 12:19:05,RC-B10-0064/2025,,Après le § 8 - Am 4,134,283,27,183,12
171581,2025-01-23,,,Recital A,,,,627,12
171582,2025-01-23,,,Recital A,,,,627,12
171584,2025-01-23,,,Recital F,,,,627,12
171585,2025-01-23,,,Recital F,,,,627,12
171586,2025-01-23,,,Recital F,,,,627,12
171587,2025-01-23 12:20:07,RC-B10-0064/2025,,Proposition de résolution (ensemble du texte),374,53,163,37,12
171588,2025-01-23 12:10:30,RC-B10-0087/2025,,Après le § 2 - Am 4,109,443,61,14,12
171589,2025-01-23 12:10:43,RC-B10-0087/2025,,§ 5 - Am 5,56,546,10,15,12
171590,2025-01-23 12:10:56,RC-B10-0087/2025,,§ 5 - Am 3,164,435,13,15,12
171591,2025-01-23 12:11:07,RC-B10-0087/2025,,Après le § 5 - Am 2,135,435,42,15,12
171592,2025-01-23 12:11:17,RC-B10-0087/2025,,Après le § 5 - Am 6,62,540,8,17,12
171593,2025-01-23 12:11:28,RC-B10-0087/2025,,Après le considérant D - Am 1,113,431,64,19,12
171594,2025-01-23 12:11:58,RC-B10-0087/2025,,Proposition de résolution (ensemble du texte),533,24,48,22,12
171595,2025-01-23 12:07:24,RC-B10-0069/2025,,Après le § 4 - Am 3,272,290,46,19,12
171596,2025-01-23 12:07:46,RC-B10-0069/2025,,Après le § 7 - Am 4,162,312,137,16,12
171597,2025-01-23 12:07:59,RC-B10-0069/2025,,Après le § 7 - Am 5,150,448,12,17,12
171598,2025-01-23 12:08:37,RC-B10-0066/2025,,§ 3 - Am 4,170,396,39,22,12
171599,2025-01-23 12:08:52,RC-B10-0066/2025,,Après le § 4 - Am 2,456,135,21,15,12
171601,2025-01-23,,,§ 6,,,,627,12
171602,2025-01-23,,,§ 6,,,,627,12
171603,2025-01-23 12:09:38,RC-B10-0066/2025,,Après le § 6 - Am 3,337,246,29,15,12
171605,2025-01-23,,,§ 7,,,,627,12
171606,2025-01-23 12:09:56,RC-B10-0066/2025,,§ 7/2,437,158,11,21,12
171607,2025-01-23 12:10:08,RC-B10-0066/2025,,Proposition de résolution (ensemble du texte),556,6,42,23,12
171608,2025-01-23,,,§ 6,,,,627,12
171609,2025-01-23,,,§ 9,,,,627,12
171611,2025-01-23 12:12:57,RC-B10-0074/2025,,§ 10/1,415,164,32,16,12
171612,2025-01-23 12:13:08,RC-B10-0074/2025,,§ 10/2,419,172,23,13,12
171613,2025-01-23 12:13:17,RC-B10-0074/2025,,§ 10/3,415,169,26,17,12
171614,2025-01-23 12:13:27,RC-B10-0074/2025,,§ 10/4,428,76,103,20,12
171615,2025-01-23 12:13:38,RC-B10-0074/2025,,§ 10/5,424,143,46,14,12
171616,2025-01-23 12:13:47,RC-B10-0074/2025,,§ 10/6,415,167,24,21,12
171617,2025-01-23 12:13:57,RC-B10-0074/2025,,§ 10/7,484,74,52,17,12
171618,2025-01-23 12:14:09,RC-B10-0074/2025,,§ 12,505,51,47,24,12
171619,2025-01-23 12:14:19,RC-B10-0074/2025,,§ 14 - Am 6,141,426,34,26,12
171621,2025-01-23 12:14:32,RC-B10-0074/2025,,§ 14/1,505,45,53,24,12
171622,2025-01-23 12:14:43,RC-B10-0074/2025,,§ 14/2,469,104,23,31,12
171623,2025-01-23 12:14:55,RC-B10-0074/2025,,Après le § 14 - Am 7,105,468,35,19,12
171624,2025-01-23 12:15:05,RC-B10-0074/2025,,Après le § 14 - Am 8,147,405,56,19,12
171625,2025-01-23 12:15:17,RC-B10-0074/2025,,§ 15 - Am 9,167,405,38,17,12
171626,2025-01-23 12:15:28,RC-B10-0074/2025,,Considérant G - Am 1,62,522,27,16,12
171627,2025-01-23 12:15:47,RC-B10-0074/2025,,Considérant I - Am 2,89,476,41,21,12
171628,2025-01-23 12:15:59,RC-B10-0074/2025,,Proposition de résolution (ensemble du texte),480,58,48,41,12
171661,2025-02-11,,,§ 1,,,,651,20
171664,2025-02-11,,,§ 3,,,,651,20
171665,2025-02-11,,,§ 6,,,,651,20
171666,2025-02-11,,,After § 6,,,,651,20
171667,2025-02-11,,,After § 6,,,,651,20
171668,2025-02-11,,,§ 9,,,,651,20
171670,2025-02-11,,,§ 15,,,,651,20
171671,2025-02-11,,,§ 16,,,,651,20
171672,2025-02-11,,,§ 18,,,,651,20
171674,2025-02-11,,,§ 18,,,,651,20
171675,2025-02-11,,,§ 19,,,,651,20
171676,2025-02-11,,,§ 21,,,,651,20
171677,2025-02-11,,,§ 23,,,,651,20
171679,2025-02-11,,,§ 26,,,,651,20
171680,2025-02-11,,,§ 26,330,275,38,651,20
171684,2025-02-11,,,§ 31,,,,651,20
171687,2025-02-11,,,§ 36,382,181,72,651,20
171690,2025-02-11,,,Citation 8,,,,651,20
171691,2025-02-11,,,Citation 10,,,,651,20
171692,2025-02-11,,,After citation 10,,,,651,20
171693,2025-02-11,,,After citation 12,,,,651,20
171694,2025-02-11,,,After citation 13,,,,651,20
171696,2025-02-11,,,Recital A,,,,651,20
171701,2025-02-11,,,Recital B,345,236,48,651,20
171702,2025-02-11 12:53:01,A10-0003/2025,,Anouk Van Brug - Proposition de résolution (ensemble du texte),378,233,26,14,20
171703,2025-02-11 12:43:00,A10-0005/2025,,Tomas Tobé - Projet de décision du Conseil,562,17,3,69,20
171704,2025-02-11 12:43:25,A10-0004/2025,,Paulo Do Nascimento Cabral - Projet de décision du Conseil,507,76,16,52,20
171705,2025-02-11 12:43:46,A10-0007/2025,,Borys Budka - Projet de décision du Conseil,591,9,9,42,20
171706,2025-02-12 12:07:39,A10-0001/2025,,Ľudovít Ódor - Projet du Conseil,589,42,10,21,13
171707,2025-02-12 12:08:20,A10-0002/2025,,Aurore Lalucq - Proposition de la Commission,608,33,8,13,13
171711,2025-02-12,B10-0060/2025,,After citation 8,,,,662,13
171717,2025-02-12,B10-0061/2025,,After citation 8,,,,662,13
171721,2025-02-11 12:44:15,A10-0003/2025,,Anouk Van Brug - Après le § 1 - Am 22,80,479,49,43,20
171722,2025-02-11 12:44:27,A10-0003/2025,,Anouk Van Brug - Après le § 1 - Am 23,67,530,16,38,20
171723,2025-02-11,,,§ 6,402,215,7,651,20
171725,2025-02-11 12:45:18,A10-0003/2025,,Anouk Van Brug - § 8/1,603,21,8,19,20
171726,2025-02-11 12:45:31,A10-0003/2025,,Anouk Van Brug - § 8/2,122,456,49,24,20
171727,2025-02-11 12:45:47,A10-0003/2025,,Anouk Van Brug - Après le § 13 - Am 30,178,358,102,13,20
171728,2025-02-11 12:46:11,A10-0003/2025,,Anouk Van Brug - § 18 - Am 26,155,451,28,17,20
171730,2025-02-11,,,§ 19,,,,651,20
171731,2025-02-11,,,§ 19,,,,651,20
171733,2025-02-11 12:46:55,A10-0003/2025,,Anouk Van Brug - § 23/1,509,113,16,13,20
171734,2025-02-11 12:47:07,A10-0003/2025,,Anouk Van Brug - § 23/2,545,70,22,14,20
171735,2025-02-11 12:47:17,A10-0003/2025,,Anouk Van Brug - § 23/3,610,9,18,14,20
171736,2025-02-11 12:47:28,A10-0003/2025,,Anouk Van Brug - § 25,489,114,37,11,20
171737,2025-02-11 12:47:39,A10-0003/2025,,Anouk Van Brug - § 26 - Am 27,125,449,63,14,20
171739,2025-02-11,,,§ 26,,,,651,20
171740,2025-02-11,,,§ 26,,,,651,20
171741,2025-02-11 12:48:20,A10-0003/2025,,Anouk Van Brug - Après le § 26 - Am 2,213,332,95,11,20
171742,2025-02-11 12:48:34,A10-0003/2025,,Anouk Van Brug - Après le § 26 - Am 41,501,17,120,13,20
171744,2025-02-11 12:48:47,A10-0003/2025,,Anouk Van Brug - § 27/1,532,60,44,15,20
171745,2025-02-11 12:48:59,A10-0003/2025,,Anouk Van Brug - § 27/2,262,315,58,16,20
171746,2025-02-11 12:49:13,A10-0003/2025,,Anouk Van Brug - § 28 - Am 6,316,286,42,7,20
171748,2025-02-11 12:49:30,A10-0003/2025,,Anouk Van Brug - § 32/1,512,89,40,10,20
171749,2025-02-11 12:49:41,A10-0003/2025,,Anouk Van Brug - § 32/2,494,87,45,25,20
171751,2025-02-11 12:49:55,A10-0003/2025,,Anouk Van Brug - § 36 - Am 32,141,461,34,15,20
171752,2025-02-11 12:50:27,A10-0003/2025,,Anouk Van Brug - § 39 - Am 29,163,450,30,8,20
171753,2025-02-11 12:50:39,A10-0003/2025,,Anouk Van Brug - Après le § 39 - Am 3,99,424,121,7,20
171755,2025-02-11,,,§ 42,,,,651,20
171756,2025-02-11 12:50:55,A10-0003/2025,,Anouk Van Brug - § 42/2,476,104,66,5,20
171757,2025-02-11 12:51:26,A10-0003/2025,,Anouk Van Brug - Avant le considérant A - Am 17,132,337,179,3,20
171758,2025-02-11 12:51:41,A10-0003/2025,,Anouk Van Brug - Après le considérant A - Am 18,133,359,154,5,20
171759,2025-02-11 12:51:52,A10-0003/2025,,Anouk Van Brug - Après le considérant A - Am 19,127,450,68,6,20
171760,2025-02-11 12:52:04,A10-0003/2025,,Anouk Van Brug - Après le considérant A - Am 20,153,477,13,8,20
171761,2025-02-11 12:52:15,A10-0003/2025,,Anouk Van Brug - Après le considérant A - Am 21,105,512,24,10,20
171763,2025-02-11,,,Recital H,,,,651,20
171764,2025-02-11 12:52:49,A10-0003/2025,,Anouk Van Brug - Considérant H/2,538,83,21,9,20
171785,2025-02-10 17:16:28,Ordre du jour de mercredi,,Demande du groupe ESN,99,317,22,162,25
171786,2025-02-12 12:10:17,B10-0060/2025,,Après le § 4 - Am 3,256,321,70,15,13
171787,2025-02-12 12:10:37,B10-0060/2025,,Après le § 5 - Am 5,209,408,33,12,13
171788,2025-02-12 12:11:05,B10-0060/2025,,Après le considérant J - Am 4,209,407,32,14,13
171789,2025-02-12 12:11:22,B10-0060/2025,,Après le considérant M - Am 2,293,250,107,12,13
171790,2025-02-12 12:11:40,B10-0060/2025,,Proposition de résolution (ensemble du texte),467,156,18,21,13
171791,2025-02-12 12:08:48,B10-0061/2025,,Après le § 4 - Am 3,262,309,76,15,13
171792,2025-02-12 12:09:19,B10-0061/2025,,Après le considérant V - Am 2,290,249,110,13,13
171793,2025-02-12 12:09:42,B10-0061/2025,,Proposition de résolution (ensemble du texte),477,152,20,13,13
171808,2025-02-13,B10-0102/2025,,B10-0102/2025,,,,595,16
171809,2025-02-13,B10-0105/2025,,B10-0105/2025,,,,595,16
171810,2025-02-13,B10-0109/2025,,B10-0109/2025,,,,595,16
171811,2025-02-13,B10-0125/2025,,B10-0125/2025,,,,595,16
171812,2025-02-13,B10-0127/2025,,B10-0127/2025,,,,595,16
171813,2025-02-13,B10-0129/2025,,B10-0129/2025,,,,595,16
171814,2025-02-13,B10-0133/2025,,B10-0133/2025,,,,595,16
171821,2025-02-13,,,§ 9,,,,595,16
171823,2025-02-13,,,§ 11,,,,595,16
171824,2025-02-13,,,§ 14,,,,595,16
171825,2025-02-13,,,§ 26,,,,595,16
171827,2025-02-13,,,Recital A,,,,595,16
171828,2025-02-13,,,After recital A,,,,595,16
171831,2025-02-13,B10-0106/2025,,B10-0106/2025,,,,595,16
171832,2025-02-13,B10-0107/2025,,B10-0107/2025,,,,595,16
171833,2025-02-13,B10-0108/2025,,B10-0108/2025,,,,595,16
171834,2025-02-13,B10-0112/2025,,B10-0112/2025,,,,595,16
171835,2025-02-13,B10-0114/2025,,B10-0114/2025,,,,595,16
171836,2025-02-13,B10-0116/2025,,B10-0116/2025,,,,595,16
171837,2025-02-13,B10-0118/2025,,B10-0118/2025,,,,595,16
171841,2025-02-13,,,Motion for a resolution (as a whole),,,,595,16
171843,2025-02-13,B10-0126/2025,,B10-0126/2025,,,,595,16
171844,2025-02-13,B10-0128/2025,,B10-0128/2025,,,,595,16
171845,2025-02-13,B10-0130/2025,,B10-0130/2025,,,,595,16
171846,2025-02-13,B10-0131/2025,,B10-0131/2025,,,,595,16
171847,2025-02-13,B10-0132/2025,,B10-0132/2025,,,,595,16
171848,2025-02-13,B10-0134/2025,,B10-0134/2025,,,,595,16
171849,2025-02-13,B10-0135/2025,,B10-0135/2025,,,,595,16
171850,2025-02-13 12:45:25,RC-B10-0102/2025,,§ 10,464,13,55,63,16
171851,2025-02-13 12:45:37,RC-B10-0102/2025,,§ 11 - Am 4,142,281,108,64,16
171852,2025-02-13 12:45:49,RC-B10-0102/2025,,§ 11,475,14,43,63,16
171853,2025-02-13 12:46:01,RC-B10-0102/2025,,§ 15 - Am 1,102,406,23,64,16
171855,2025-02-13 12:46:13,RC-B10-0102/2025,,§ 15/1,426,78,24,67,16
171856,2025-02-13 12:46:25,RC-B10-0102/2025,,§ 15/2,489,4,31,71,16
171857,2025-02-13 12:46:37,RC-B10-0102/2025,,§ 17 - Am 2,114,401,15,65,16
171858,2025-02-13 12:46:49,RC-B10-0102/2025,,Après le § 20 - Am 3,62,408,60,65,16
171859,2025-02-13 12:47:01,RC-B10-0102/2025,,Proposition de résolution (ensemble du texte),443,4,48,100,16
171863,2025-02-13,,,Motion for a resolution (as a whole),,,,595,16
171865,2025-02-13,B10-0101/2025,,B10-0101/2025,,,,595,16
171866,2025-02-13,B10-0104/2025,,B10-0104/2025,,,,595,16
171867,2025-02-13,B10-0111/2025,,B10-0111/2025,,,,595,16
171868,2025-02-13,B10-0113/2025,,B10-0113/2025,,,,595,16
171869,2025-02-13,B10-0117/2025,,B10-0117/2025,,,,595,16
171870,2025-02-13,B10-0120/2025,,B10-0120/2025,,,,595,16
171871,2025-02-13,B10-0122/2025,,B10-0122/2025,,,,595,16
171872,2025-02-13,B10-0123/2025,,B10-0123/2025,,,,595,16
171874,2025-02-13,,,§ 3,,,,595,16
171878,2025-02-13,,,Recital E,,,,595,16
171880,2025-02-13,,,Motion for a resolution (as a whole),,,,595,16
171882,2025-02-13,B10-0100/2025,,B10-0100/2025,,,,595,16
171883,2025-02-13,B10-0103/2025,,B10-0103/2025,,,,595,16
171884,2025-02-13,B10-0110/2025,,B10-0110/2025,,,,595,16
171885,2025-02-13,B10-0115/2025,,B10-0115/2025,,,,595,16
171886,2025-02-13,B10-0119/2025,,B10-0119/2025,,,,595,16
171887,2025-02-13,B10-0121/2025,,B10-0121/2025,,,,595,16
171888,2025-02-13,B10-0124/2025,,B10-0124/2025,,,,595,16
171889,2025-02-13 12:39:42,RC-B10-0126/2025,,Après le § 2 - Am 2,147,395,3,50,16
171890,2025-02-13 12:39:57,RC-B10-0126/2025,,§ 9 - Am 1,194,225,19,157,16
171891,2025-02-13 12:40:33,RC-B10-0101/2025,,Après le § 2 - Am 2,73,407,67,48,16
171892,2025-02-13 12:40:47,RC-B10-0101/2025,,Après le § 4 - Am 1,246,259,20,70,16
171893,2025-02-13 12:41:16,RC-B10-0106/2025,,Après le § 1 - Am 1,142,405,6,42,16
171895,2025-02-13 12:41:30,RC-B10-0106/2025,,§ 2/1,402,104,51,38,16
171896,2025-02-13,,,§ 2,,,,595,16
171897,2025-02-13 12:41:48,RC-B10-0106/2025,,§ 3,390,109,52,44,16
171899,2025-02-13 12:42:02,RC-B10-0106/2025,,§ 4/1,390,98,67,40,16
171900,2025-02-13,,,§ 4,,,,595,16
171901,2025-02-13 12:42:20,RC-B10-0106/2025,,§ 7,417,96,46,36,16
171902,2025-02-13 12:42:32,RC-B10-0106/2025,,§ 8,412,85,60,38,16
171904,2025-02-13,,,§ 9,,,,595,16
171905,2025-02-13 12:43:04,RC-B10-0106/2025,,§ 9/2,394,113,43,45,16
171906,2025-02-13 12:43:16,RC-B10-0106/2025,,§ 10 - Am 2,199,261,94,41,16
171907,2025-02-13 12:43:44,RC-B10-0106/2025,,§ 23,419,77,58,41,16
171908,2025-02-13 12:43:57,RC-B10-0106/2025,,§ 25,396,118,36,45,16
171909,2025-02-13,,,§ 26,,,,595,16
171910,2025-02-13 12:44:25,RC-B10-0106/2025,,§ 27 - Am 3,282,207,60,46,16
171911,2025-02-13 12:45:00,RC-B10-0106/2025,,Proposition de résolution (ensemble du texte),400,63,81,51,16
171912,2025-02-13 12:36:17,RC-B10-0100/2025,,§ 6 - Am 5,123,388,32,52,16
171913,2025-02-13 12:36:38,RC-B10-0100/2025,,§ 6,481,18,52,44,16
171914,2025-02-13 12:36:55,RC-B10-0100/2025,,§ 7 - Am 2,124,387,34,50,16
171915,2025-02-13 12:37:09,RC-B10-0100/2025,,§ 7 - Am 6,148,362,35,50,16
171916,2025-02-13 12:37:32,RC-B10-0100/2025,,Après le considérant E - Am 1,114,415,12,54,16
172102,2025-03-11 12:56:14,A10-0006/2025,,"– Siegfried Mureşan, Sven Mikser – Provisional agreement – Am 2",499,117,44,24,5
172110,2025-03-11 12:57:57,A10-0016/2025,,– Ilhan Kyuchyuk – Proposal for a decision,643,10,15,16,5
172111,2025-03-11,,,Appointment of Radek Urban,562,19,67,684,5
172112,2025-03-11,,,Appointment of Slavka Eley,539,43,37,684,5
172113,2025-03-11,,,Appointment of Miguel Carcaño Saenz Cenzano,570,46,29,684,5
172114,2025-03-12 12:06:40,A10-0013/2025,,Nikola Minchev - Projet de décision du Conseil,521,90,45,23,5
172115,2025-03-12 12:03:46,A10-0017/2025,,Željana Zovko - Projet de décision du Conseil,525,5,34,115,5
172132,2025-03-11 13:02:53,A10-0021/2025,,– Christian Ehler – After § 4 – Am 1,190,469,13,12,5
172133,2025-03-11 13:03:07,A10-0021/2025,,– Christian Ehler – After § 51 – Am 2,191,450,26,17,5
172134,2025-03-11 13:03:20,A10-0021/2025,,– Christian Ehler – After § 57 – Am 3,206,456,8,14,5
172135,2025-03-11 13:03:33,A10-0021/2025,,– Christian Ehler – After § 57 – Am 4,210,449,6,19,5
172136,2025-03-11 13:03:47,A10-0021/2025,,– Christian Ehler – Motion for a resolution (as a whole),472,75,92,45,5
172142,2025-03-11 12:58:14,A10-0014/2025,,– Marit Maij – Alternative motion for a resolution – Am 1,176,468,27,13,5
172144,2025-03-11,,,§ 17,,,,684,5
172145,2025-03-11,,,§ 17,376,241,53,684,5
172147,2025-03-11,,,§ 21,,,,684,5
172148,2025-03-11,,,§ 21,382,247,42,684,5
172149,2025-03-11,,,§ 24,335,314,15,684,5
172151,2025-03-11,,,§ 33,,,,684,5
172152,2025-03-11,,,§ 33,306,351,11,684,5
172154,2025-03-11,,,§ 41,,,,684,5
172155,2025-03-11,,,§ 41,319,342,8,684,5
172156,2025-03-11,,,Recital J,322,302,44,684,5
172157,2025-03-11,,,Recital K,331,299,36,684,5
172158,2025-03-11 13:00:59,A10-0014/2025,,– Marit Maij – Motion for a resolution (as a whole),432,155,82,15,5
172159,2025-03-10 17:20:27,Ordre du jour de mercredi,,Demande du groupe ECR,110,309,9,199,6
172160,2025-03-10 17:23:26,Ordre du jour de mercredi,,Demande du groupe ESN,109,317,7,194,6
172161,2025-03-10,,,Wednesday’s agenda – Request by the Verts/ALE Group,,,,627,6
172162,2025-03-11,,,Proposal for a decision,,,,684,5
172165,2025-03-12,,,§ 3,,,,679,5
172166,2025-03-12 12:07:14,A10-0022/2025,,Fernando Navarrete Rojas - § 3 - Am 15/2,188,460,19,12,5
172168,2025-03-12,,,§ 3,,,,679,5
172169,2025-03-12 12:07:31,A10-0022/2025,,Fernando Navarrete Rojas - § 3/2,465,187,16,11,5
172170,2025-03-12 12:07:46,A10-0022/2025,,Fernando Navarrete Rojas - § 4 - Am 3,115,508,46,10,5
172171,2025-03-12 12:08:00,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 4 - Am 4,139,392,139,9,5
172172,2025-03-12,,,§ 5,,,,679,5
172173,2025-03-12 12:08:18,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 5 - Am 5,112,531,29,7,5
172175,2025-03-12,,,§ 8,,,,679,5
172176,2025-03-12,,,§ 8,,,,679,5
172177,2025-03-12 12:08:43,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 9 - Am 6,122,506,51,0,5
172179,2025-03-12 12:08:56,A10-0022/2025,,Fernando Navarrete Rojas - § 10/1,525,129,19,6,5
172180,2025-03-12 12:09:07,A10-0022/2025,,Fernando Navarrete Rojas - § 10/2,535,72,71,1,5
172181,2025-03-12,,,§ 15,,,,679,5
172182,2025-03-12 12:09:24,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 21 - Am 7,109,556,13,1,5
172183,2025-03-12 12:09:34,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 21 - Am 8,138,378,159,4,5
172184,2025-03-12,,,§ 22,,,,679,5
172185,2025-03-12 12:09:52,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 23 - Am 9,115,543,21,0,5
172186,2025-03-12 12:10:03,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 23 - Am 10,74,521,82,2,5
172188,2025-03-12,,,§ 29,,,,679,5
172189,2025-03-12 12:10:21,A10-0022/2025,,Fernando Navarrete Rojas - § 29/2,487,137,49,6,5
172190,2025-03-12 12:10:33,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 31 - Am 11,103,531,44,1,5
172192,2025-03-12,,,§ 32,,,,679,5
172193,2025-03-12 12:10:54,A10-0022/2025,,Fernando Navarrete Rojas - § 32/2,529,132,17,1,5
172195,2025-03-12,,,§ 35,,,,679,5
172196,2025-03-12 12:11:13,A10-0022/2025,,Fernando Navarrete Rojas - § 35/2,501,164,14,0,5
172197,2025-03-12 12:11:25,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 35 - Am 12,122,504,50,3,5
172198,2025-03-12 12:11:38,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 35 - Am 14,172,473,37,0,5
172199,2025-03-12,,,§ 38,,,,679,5
172200,2025-03-12 12:11:58,A10-0022/2025,,Fernando Navarrete Rojas - Après le § 41 - Am 20,175,463,42,0,5
172202,2025-03-12,,,Recital E,,,,679,5
172203,2025-03-12,,,Recital E,,,,679,5
172204,2025-03-12 12:12:23,A10-0022/2025,,Fernando Navarrete Rojas - Après le considérant F - Am 1,175,484,22,0,5
172205,2025-03-12 12:12:36,A10-0022/2025,,Fernando Navarrete Rojas - Après le considérant K - Am 13,139,471,53,16,5
172207,2025-03-12,,,Recital N,,,,679,5
172208,2025-03-12,,,Recital N,,,,679,5
172209,2025-03-12,,,Recital P,,,,679,5
172210,2025-03-12 12:13:08,A10-0022/2025,,Fernando Navarrete Rojas - Après le considérant P - Am 2,129,499,55,0,5
172211,2025-03-12 12:13:24,A10-0022/2025,,Fernando Navarrete Rojas - Proposition de résolution (ensemble du texte),469,162,54,0,5
172212,2025-03-12,,,§ 1,,,,679,5
172213,2025-03-12,,,§ 2,,,,679,5
172214,2025-03-12,,,§ 3,,,,679,5
172215,2025-03-12 12:14:10,A10-0023/2025,,Maravillas Abadía Jover - § 3,325,294,56,4,5
172216,2025-03-12,,,§ 4,,,,679,5
172218,2025-03-12,,,§ 4,,,,679,5
172219,2025-03-12,,,§ 4,,,,679,5
172220,2025-03-12 12:14:43,A10-0023/2025,,Maravillas Abadía Jover - § 5,469,60,153,0,5
172221,2025-03-12,,,§ 7,,,,679,5
172223,2025-03-12,,,§ 7,,,,679,5
172224,2025-03-12 12:15:08,A10-0023/2025,,Maravillas Abadía Jover - § 7/2,312,359,9,0,5
172225,2025-03-12 12:15:22,A10-0023/2025,,Maravillas Abadía Jover - § 8,461,98,121,0,5
172227,2025-03-12,,,§ 12,,,,679,5
172228,2025-03-12,,,§ 12,,,,679,5
172229,2025-03-12,,,§ 13,,,,679,5
172231,2025-03-12,,,§ 13,,,,679,5
172232,2025-03-12,,,§ 13,,,,679,5
172233,2025-03-12,,,§ 14,,,,679,5
172235,2025-03-12,,,§ 14,,,,679,5
172236,2025-03-12,,,§ 14,,,,679,5
172238,2025-03-12,,,§ 15,,,,679,5
172239,2025-03-12,,,§ 15,,,,679,5
172241,2025-03-12,,,§ 16,,,,679,5
172242,2025-03-12,,,§ 16,324,345,9,679,5
172243,2025-03-12,,,§ 16,477,189,5,679,5
172244,2025-03-12,,,§ 16,303,365,10,679,5
172245,2025-03-12,,,After § 16,,,,679,5
172247,2025-03-12 12:18:25,A10-0023/2025,,Maravillas Abadía Jover - § 17/1,544,109,25,1,5
172248,2025-03-12 12:18:38,A10-0023/2025,,Maravillas Abadía Jover - § 17/2,452,194,21,12,5
172249,2025-03-12 12:18:50,A10-0023/2025,,Maravillas Abadía Jover - § 17/3,317,343,8,11,5
172250,2025-03-12,,,§ 19,,,,679,5
172254,2025-03-12,,,§ 22,,,,679,5
172256,2025-03-12,,,§ 23,,,,679,5
