identifier,date,report,desc,title,for,against,abstention,no_show,excused
169507,2024-09-19,B10-0040/2024,,B10-0040/2024,,,,639,8
169508,2024-09-19,B10-0045/2024,,B10-0045/2024,,,,639,8
169509,2024-09-19,B10-0047/2024,,B10-0047/2024,,,,639,8
169510,2024-09-19,B10-0048/2024,,B10-0048/2024,,,,639,8
169511,2024-09-19,B10-0050/2024,,B10-0050/2024,,,,639,8
169517,2024-09-19,,,After § 10,,,,639,8
169525,2024-09-19,,,Motion for a resolution (as a whole),,,,639,8
169527,2024-09-19,B10-0057/2024,,B10-0057/2024,,,,639,8
169528,2024-09-19,B10-0058/2024,,B10-0058/2024,,,,639,8
169529,2024-09-19,B10-0059/2024,,B10-0059/2024,,,,639,8
169530,2024-09-19,B10-0060/2024,,B10-0060/2024,,,,639,8
169531,2024-09-19,B10-0061/2024,,B10-0061/2024,,,,639,8
169532,2024-09-19,B10-0062/2024,,B10-0062/2024,,,,639,8
169533,2024-09-19,B10-0063/2024,,B10-0063/2024,,,,639,8
169534,2024-09-19 12:11:24,RC-B10-0022/2024,,– § 6 – Am 4,241,345,30,23,8
169535,2024-09-19 12:11:40,RC-B10-0022/2024,,– § 6,356,204,55,24,8
169536,2024-09-19 12:11:56,RC-B10-0022/2024,,– After § 6 – Am 3,209,359,43,28,8
169537,2024-09-19 12:12:11,RC-B10-0022/2024,,– After § 6 – Am 5,219,357,41,22,8
169538,2024-09-19 12:12:27,RC-B10-0022/2024,,– After § 6 – Am 6,231,326,58,24,8
169539,2024-09-19 12:12:40,RC-B10-0022/2024,,– After § 6 – Am 2,113,441,56,29,8
169540,2024-09-19 12:12:55,RC-B10-0022/2024,,– After recital D – Am 1,112,485,13,29,8
169541,2024-09-19 12:13:11,RC-B10-0022/2024,,– Motion for a resolution (as a whole),380,182,51,26,8
169543,2024-09-19 12:10:32,RC-B10-0026/2024,,– After § 6 – Am 1,255,316,23,45,8
169544,2024-09-19 12:10:50,RC-B10-0026/2024,,– Motion for a resolution (as a whole),549,21,37,32,8
169546,2024-09-19,B10-0026/2024,,B10-0026/2024,,,,639,8
169547,2024-09-19,B10-0051/2024,,B10-0051/2024,,,,639,8
169548,2024-09-19,B10-0052/2024,,B10-0052/2024,,,,639,8
169549,2024-09-19,B10-0053/2024,,B10-0053/2024,,,,639,8
169550,2024-09-19,B10-0054/2024,,B10-0054/2024,,,,639,8
169551,2024-09-19,B10-0055/2024,,B10-0055/2024,,,,639,8
169553,2024-09-19,,,§ 4,,,,639,8
169554,2024-09-19,,,§ 4,,,,639,8
169555,2024-09-19 12:07:49,RC-B10-0024/2024,,– § 7,458,90,63,28,8
169557,2024-09-19,,,§ 8,,,,639,8
169558,2024-09-19 12:08:15,RC-B10-0024/2024,,– § 8/2,444,153,20,22,8
169559,2024-09-19 12:08:33,RC-B10-0024/2024,,– After § 8 – Am 2,182,418,13,26,8
169560,2024-09-19 12:09:01,RC-B10-0024/2024,,– After § 8 – Am 3,200,400,16,23,8
169562,2024-09-19,,,Recital C,,,,639,8
169563,2024-09-19,,,Recital C,,,,639,8
169564,2024-09-19 12:09:40,RC-B10-0024/2024,,– After recital D – Am 1,177,426,13,23,8
169565,2024-09-19 12:09:57,RC-B10-0024/2024,,– Motion for a resolution (as a whole),565,8,43,23,8
169567,2024-09-19 12:36:41,RC-B10-0057/2024,,– § 4/1,429,120,55,35,8
169568,2024-09-19 12:36:53,RC-B10-0057/2024,,– § 4/2,416,170,7,46,8
169569,2024-09-19 12:37:05,RC-B10-0057/2024,,– After § 4 – Am 12,172,425,12,30,8
169570,2024-09-19 12:37:17,RC-B10-0057/2024,,– After § 5 – Am 7,156,419,34,30,8
169571,2024-09-19 12:37:30,RC-B10-0057/2024,,– After § 6 – Am 3,145,420,45,29,8
169573,2024-09-19 12:37:43,RC-B10-0057/2024,,– After § 8 – Am 11/1,427,151,25,36,8
169574,2024-09-19 12:37:54,RC-B10-0057/2024,,– After § 8 – Am 11/2,85,459,63,32,8
169575,2024-09-19 12:38:13,RC-B10-0057/2024,,– After § 10 – Am 8,180,409,15,35,8
169576,2024-09-19 12:38:25,RC-B10-0057/2024,,– § 12,468,128,12,31,8
169577,2024-09-19 12:38:38,RC-B10-0057/2024,,– § 20,432,145,26,36,8
169579,2024-09-19 12:38:52,RC-B10-0057/2024,,– § 21/1,597,5,4,33,8
169580,2024-09-19 12:39:02,RC-B10-0057/2024,,– § 21/2,445,128,32,34,8
