mepid,mep,group,voted
5936,Zalba Bidegain,PPE,3128
6749,Zammit Dimech,PPE,2920
6414,Zanni,ENF,7371
6434,Zanonato,S&D,7809
6673,Zarianopoulos,NI,6355
6344,Zdechovský,PPE,7859
6532,Zdrojewski,PPE,8141
5935,Zeller,PPE,7347
5957,Zemke,S&D,8035
6228,Zijlstra,ENF,6581
5368,Zimmer,GUE/NGL,6956
6764,Zoană,S&D,2387
6714,Zoffoli,S&D,7373
6373,Zorrinho,S&D,8042
6734,Zovko,PPE,3579
6253,Zuber,GUE/NGL,2315
6695,Zullo,EFDD,7769
6094,Zver,PPE,7541
5420,Zwiefka,PPE,7575
5189,Záborská,PPE,7778
5598,Zīle,ECR,5530
6522,Złotowski,ECR,7842
6630,de Graaff,ENF,6409
5511,de Grandes Pascual,PPE,7038
5922,de Jong,GUE/NGL,7029
5727,de Lange,PPE,7182
4758,de Sarnez,ALDE,4668
5508,del Castillo Vera,PPE,6315
5013,dos Santos,S&D,4615
5385,in 't Veld,ALDE,8038
6097,van Baalen,ALDE,6837
5981,van Dalen,ECR,7382
6626,van Miltenburg,ALDE,8037
6621,van Nieuwenhuizen,ALDE,4832
5295,van Nistelrooij,PPE,7662
5928,van de Camp,PPE,7513
6462,von Storch,ECR,4384
6478,von Weizsäcker,S&D,6992
5964,Łukacijewska,PPE,7357
6521,Łybacka,S&D,6322
6246,Šadurskis,PPE,1057
6545,Škripek,ECR,7842
6390,Škrlec,Verts/ALE,7484
6341,Šojdrová,PPE,8120
6612,Šoltes,Verts/ALE,7389
6547,Štefanec,PPE,7985
6333,Štětina,PPE,7471
6301,Šuica,PPE,7516
6680,Šulin,PPE,7818
6717,Ţurcanu,PPE,6498
6541,Żółtek,ENF,6235
5602,Ždanoka,Verts/ALE,5353
6540,Žitňanská,ECR,6366
6427,Țapardel,S&D,5256
6717,Țurcanu,PPE,276
