mepid,mep,group,voted
6024,Ernst,GUE/NGL,7119
6014,Ertug,S&D,7514
5983,Estaràs Ferragut,PPE,7176
6569,Etheridge,EFDD,6050
4954,Evans,Verts/ALE,7059
6413,Evi,EFDD,8010
6080,Fajon,S&D,6755
4929,Farage,EFDD,3435
6679,Faria,ALDE,7430
6601,Federley,ALDE,7360
3833,Ferber,PPE,6659
6068,Fernandes,PPE,7597
6652,Fernández,S&D,7779
6401,Ferrand,ENF,4522
6770,Ferrandino,S&D,2346
6470,Ferrara,EFDD,7343
5886,Ferreira,GUE/NGL,4506
5427,Ferreira Elisa,S&D,2997
5886,Ferreira João,GUE/NGL,2701
6558,Finch,EFDD,6262
5903,Fisas Ayxelà,PPE,5807
4880,Fitto,ECR,6315
5256,Fjellner,PPE,6520
6743,Flack,ECR,2728
6597,Flanagan,GUE/NGL,7772
5173,Flašíková Beňová,S&D,4728
UNDEFINE,Flašíková Beňová,S&D,7
6012,Fleckenstein,S&D,7037
1508,Florenz,PPE,6350
6132,Fontana,ENF,5435
6104,Ford,ECR,4200
6693,Forenza,GUE/NGL,7351
4957,Foster,ECR,6508
5472,Fotyga,ECR,6118
6668,Fountoulis,NI,7792
6112,Fox,ECR,7671
6775,Franz,Verts/ALE,1760
6620,Freund,S&D,7703
6424,Frunzulică,S&D,7969
6769,Gabelic,S&D,2354
6020,Gabriel,PPE,3980
4659,Gahler,PPE,7619
6615,Gambús,PPE,7685
5417,García Pérez,S&D,7619
6130,Gardiazabal Rubial,S&D,8046
5803,Gardini,PPE,7978
6454,Gasbarra,S&D,6017
3827,Gebhardt,S&D,7897
6780,Gehrold,PPE,1564
6005,Geier,S&D,7461
6485,Gentile,S&D,7271
6098,Gerbrandy,ALDE,6323
6452,Gericke,ECR,7355
5495,Geringer de Oedenberg,S&D,8025
5904,Giegold,Verts/ALE,7602
5497,Gierek,S&D,7813
6441,Gieseke,PPE,8150
6584,Gill,EFDD,361
4937,Gill CBE,S&D,360
6584,Gill Nathan,EFDD,6308
4937,Gill Neena,S&D,7185
6724,Giménez Barbat,ALDE,5580
6658,Girauta Vidal,ALDE,1974
6111,Girling,ECR,6623
6502,Giuffrida,S&D,7687
472,Glezos,GUE/NGL,1027
6772,Gloanec Maurin,S&D,1946
6450,Goddyn,EFDD,7449
1793,Goerens,ALDE,7543
1380,Gollnisch,NI,7158
5425,Gomes,S&D,7543
6702,González Peñas,GUE/NGL,7909
6632,González Pons,PPE,7798
6539,Gosiewska,ECR,8053
6169,Goulard,ALDE,4295
6688,Grammatikakis,S&D,6653
6419,Grapini,S&D,8008
6720,Graswander-Hainz,S&D,6761
5330,Griesbeck,ALDE,7809
6580,Griffin,S&D,7251
6379,Grigule,ALDE,3041
UNDEFINE,Grigule,ALDE,10
6379,Grigule-Pēterse,ALDE,2716
5692,Groote,S&D,3683
4032,Grossetête,PPE,8161
5109,Grzyb,PPE,7008
6779,Gräzin,ALDE,1046
5342,Gräßle,PPE,7865
5963,Gróbarczyk,ECR,1826
6063,Gualtieri,S&D,7891
5941,Guerrero Salom,S&D,7118
6107,Guillaume,S&D,7733
6397,Guoga,PPE,5712
6603,Guteland,S&D,6585
6212,Gutiérrez Prieto,S&D,7006
5138,Gyürk,PPE,5951
5280,Gál,PPE,7093
6202,Gáll-Pelcz,PPE,4481
6076,Hadjigeorgiou,GUE/NGL,7476
6358,Halla-aho,ECR,7437
4959,Hannan,ECR,5593
6777,Hansen,PPE,1786
5246,Harkin,ALDE,7435
5353,Harms,Verts/ALE,7068
4535,Hautala,Verts/ALE,7178
6596,Hayes,PPE,7574
6628,Hazekamp,GUE/NGL,7871
5261,Hedh,S&D,6488
5715,Hellvig,PPE,227
4920,Helmer,EFDD,4002
6460,Henkel,ECR,7179
5018,Herranz García,PPE,6330
6534,Hetman,PPE,7697
6486,Heubuch,Verts/ALE,7653
6043,Hirsch,ALDE,2698
6725,Hoc,ECR,5892
6479,Hoffmann,S&D,6913
5953,Hohlmeier,PPE,7453
4994,Honeyball,S&D,7774
6575,Hookem,EFDD,5597
4987,Hortefeux,PPE,7268
6745,Howarth,S&D,3025
4103,Howitt,S&D,3428
4655,Hudghton,Verts/ALE,6125
6622,Huitema,ALDE,8033
5681,Hyusmenova,ALDE,7468
6023,Händel,GUE/NGL,3465
5926,Häusling,Verts/ALE,7549
5254,Hökmark,PPE,7224
6346,Hölvényi,PPE,6469
5952,Hübner,PPE,7975
6685,Ide,ECR,53
6637,Iglesias,GUE/NGL,1631
5738,Iotova,S&D,3771
5516,Iturgaiz,PPE,7345
6029,Ivan,S&D,5697
6524,Iwaszkiewicz,EFDD,7930
5870,Jaakonsaari,S&D,7910
6520,Jackiewicz,ECR,1494
5914,Jadot,Verts/ALE,7253
5945,Jahr,PPE,7953
6388,Jakovčić,ALDE,8119
6404,Jalkh,ENF,6437
6556,James,NI,6506
6751,Jamet,ENF,2859
6635,Jansen,NI,623
5954,Jazłowiecka,PPE,7450
6338,Ježek,ALDE,8142
6640,Jiménez Villarejo,GUE/NGL,34
5978,Jiménez-Becerril Barrio,PPE,6273
6054,Joly,Verts/ALE,6818
6624,Jongerius,S&D,7496
6360,Joulaud,PPE,6665
6657,Juaristi Abaunz,GUE/NGL,4961
6531,Jurek,ECR,7246
6055,Juvin,PPE,6923
5271,Járóka,PPE,1828
6161,Jáuregui Atondo,S&D,7633
6350,Jávor,Verts/ALE,7449
5433,Jäätteenmäki,ALDE,7505
6146,Kadenbach,S&D,7776
6686,Kaili,S&D,6483
5944,Kalinowski,PPE,6826
6328,Kallas,ALDE,5889
6095,Kalniete,PPE,6959
5630,Kamall,ECR,6113
6009,Kammerevert,S&D,7723
6629,Kappel,ENF,7761
4669,Karas,PPE,7855
6313,Kari,GUE/NGL,7009
5563,Karim,ECR,6279
6070,Kariņš,PPE,6468
6514,Karlsson,NI,6386
6525,Karski,ECR,7268
6766,Katainen,ALDE,2344
6661,Katrougkalos,GUE/NGL,217
3756,Kaufmann,S&D,7576
6666,Kefalogiannis,PPE,6749
5542,Kelam,PPE,7949
6326,Keller Jan,S&D,7370
5908,Keller Ska,Verts/ALE,7953
5855,Kelly,PPE,8069
6581,Khan,S&D,4680
6744,Khan,S&D,3015
DUPLICATE,Khan,S&D,22
4946,Kirkhope,ECR,2202
6571,Kirton-Darling,S&D,6892
5364,Klinz,ALDE,2463
3759,Koch,PPE,7206
6508,Kofod,S&D,7696
5450,Kohlíček,GUE/NGL,4129
