date,code,reference,name,baseurl,extensions
2017-10-26,VOT,P8_PV-PROV(2017)10-26(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-26/pv_provisoire/P8_PV-PROV(2017)10-26(VOT)_EN,pdf|xml|docx
2017-10-03,VOT,P8_PV(2017)10-03(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-03/liste_presence/P8_PV(2017)10-03(VOT)_EN,xml|docx
2017-09-14,VOT,P8_PV(2017)09-14(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-14/liste_presence/P8_PV(2017)09-14(VOT)_EN,xml|docx
2017-09-13,VOT,P8_PV(2017)09-13(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-13/liste_presence/P8_PV(2017)09-13(VOT)_EN,xml|docx
2017-10-25,VOT,P8_PV-PROV(2017)10-25(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-25/pv_provisoire/P8_PV-PROV(2017)10-25(VOT)_EN,pdf|docx
2017-10-24,VOT,P8_PV-PROV(2017)10-24(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-24/pv_provisoire/P8_PV-PROV(2017)10-24(VOT)_EN,pdf|xml|docx
2017-10-05,VOT,P8_PV-PROV(2017)10-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-05/pv_provisoire/P8_PV-PROV(2017)10-05(VOT)_EN,pdf|xml|docx
2017-09-12,VOT,P8_PV(2017)09-12(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/09-12/liste_presence/P8_PV(2017)09-12(VOT)_EN,xml|docx
2017-07-06,VOT,P8_PV(2017)07-06(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-06/liste_presence/P8_PV(2017)07-06(VOT)_EN,xml|docx
2017-07-05,VOT,P8_PV(2017)07-05(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/07-05/liste_presence/P8_PV(2017)07-05(VOT)_EN,xml|docx
2017-10-04,VOT,P8_PV-PROV(2017)10-04(VOT),Minutes - Vote Result,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2017/10-04/pv_provisoire/P8_PV-PROV(2017)10-04(VOT)_EN,pdf|xml|docx
