mep,mepid
Kallas,6328
Kalniete,6095
Kamall,5630
Kammerevert,6009
Kappel,6629
Karas,4669
Kari,6313
Karim,5563
Kariņš,6070
Karlsson,6514
Karski,6525
Katainen,6766
Katrougkalos,6661
Kaufmann,3756
Kefalogiannis,6666
Kelam,5542
Keller Jan,6326
Keller Ska,5908
Kelly,5855
Khan,6744
Kirkhope,4946
Kirton-Darling,6571
Klinz,5364
Koch,3759
Kofod,6508
Kohlíček,5450
Kohn,6739
Konečná,5039
Korwin-Mikke,6517
Kouloglou,6713
Kouroumbashev,6495
Kovatchev,6196
Kovács,6203
Kozłowska-Rajewicz,6527
Krasnodębski,6530
Krehl,3761
Krupa,5453
Kudrycka,5403
Kuhn,5940
Kukan,5840
Kumpula-Natri,6367
Kuneva,6675
Kuźmiuk,5507
Kyenge,6435
Kyllönen,6369
Kyrkos,6689
Kyrtsos,6662
Kyuchyuk,6504
Kósa,6001
Kölmel,6461
Köster,6459
Köstinger,6053
Kłosowski,6726
La Via,5988
Lalonde,6740
Lamassoure,1350
Lambert,4935
Lamberts,5838
Lambsdorff,5362
Lancini,6771
Landsbergis,6393
Lange,3823
Langen,3856
Lauristin,6329
Lavrilleux,6363
Le Grip,6200
Le Hyaric,5909
Le Pen,1529
Le Pen Jean-Marie,1529
Le Pen Marine,5332
Lebreton,6372
Lechevalier,6746
Legutko,5969
Leichtfried,5371
Leinen,4685
Lenaers,6592
Leontini,5809
Lewandowski,5105
Lewer,6561
Liberadzki,5094
Liese,3855
Lietz,6477
Lins,6442
Lochbihler,5902
Loiseau,6699
Loones,6704
Lope Fontagné,5938
Lucke,6457
Ludvigsson,5860
Lunacek,6149
Lundgren,6608
López,6648
López Aguilar,5984
López Bermejo,6653
López Javi,6648
López Paloma,6653
López-Istúriz White,5517
Lösing,6026
Lövin,5862
Løkkegaard,5889
Mach,6448
Macovei,5996
Maeijer,6633
Maletić,6303
Malinov,6245
Maltese,6692
Mamikins,6380
Mandl,6761
Mann,3845
Manscour,6355
Maragall,6550
Marcellesi,6732
Marias,6667
Marinescu,5646
Marinho e Pinto,6376
Martin David,1133
Martin Dominique,6385
Martin Edouard,6565
Martusciello,6465
Marusik,6533
Matera,5985
Matias,5992
Mato,6096
Matthews,6742
Maullu,6721
Maura Barandiarán,6645
Maurel,6354
Mavrides,6322
Maydell,6483
Mayer,6627
Mayer Alex,6737
Mayer Georg,6627
Mazuronis,6402
Maňka,5314
Maštálka,5044
McAllister,6440
McAvan,4646
McClarkin,6087
McGuinness,5245
McIntyre,6234
Meissner,6041
Melior,6476
Melo,6121
Messerschmidt,5851
Meszerics,6349
Metsola,6297
Metz,6776
Meuthen,6759
Michel,5857
Michels,6310
Mihaylova,6690
Mikolášik,5308
Millán Mon,5518
Mineur,6643
Miranda,6251
Mitrofanovs,6767
Mizzi,6296
Mlinar,6631
Mobarik,6752
Moi,6497
Moisă,6423
Molnár,6351
Monot,6395
Monteiro de Aguiar,6366
Montel,6403
Moody,6562
Moraes,4923
Morano,6368
Moretti,6433
Morgano,6422
Morin-Chartier,5732
Morvai,5849
Mosca,6506
Mureşan,6436
Mureșan,6436
Muselier,6361
Mussolini,5547
Mélenchon,5916
Mélin,6399
Müller,6500
Mănescu,5774
Nagtegaal,6760
Nagy,6544
Nart,6614
Negrescu,6691
Nekov,6618
Neuser,6016
Neyts-Uyttebroeck,3899
Nica,6418
Nicholson,1230
Nicolai,5997
Niebler,4712
Niedermayer,6332
Niedermüller,6352
Nilsson,6242
Noichl,6473
Novakov,6709
Nuttall,5977
Ní Riada,6599
O'Flynn,6557
Obermayr,6123
Olbrycht,5407
Omarjee,6250
Ożóg,6536
Pabriks,6377
Packet,6782
Padar,6156
Paet,6705
Pagazaurtundúa Ruiz,6644
Paksas,5875
Palmer,6756
Panzeri,5483
Paolucci,6487
Papadakis Demetris,6323
Papadakis Konstantinos,6676
Papadimoulis,5596
Pargneaux,6103
Parker,6563
Patriciello,5702
Paulsen,4693
Paunova,6483
Pavel,6707
Payne,6754
Paşcu,5648
Pașcu,5648
Pedicini,6482
Peillon,5296
Peterle,5033
Petersen,6510
Petir,6383
Philippot,6474
Picierno,6484
Picula,6261
Piecha,6512
Pieper,5346
Pietikäinen,5788
Pimenta Lopes,6727
Piotrowski,5460
Piri,6625
Pirinski,6493
Pitera,6537
Pittella,4851
Plenković,6268
Plura,6519
Poc,5894
Poche,6330
Pogliese,6491
Polčák,6335
Ponga,6092
Popa,6753
Poręba,5974
Pospíšil,6700
Post,6609
Preda,6010
Pretzell,6467
Preuß,6526
Procter,6736
Proust,6224
Punset,6728
Quisthoudt-Rowohl,1487
Radev,6488
Radoš,6266
Radtke,6750
Rangel,6072
Ransdorf,5046
Rebega,6426
Reda,6453
Reding,1335
Regner,6136
Rehn,4544
Reid,6564
Reimon,6552
Reintke,6529
Reul,5347
Revault D'Allonnes Bonnefoy,6316
Revault d'Allonnes Bonnefoy,6316
Ribeiro,6365
Ries,4676
Riquet,6056
Rivasi,5917
Rochefort,6154
Rodrigues Liliana,6677
Rodrigues Maria João,6371
Rodriguez-Rubio,6639
Rodriguez-Rubio Vázquez,6639
Rodríguez-Piñero Fernández,6649
Rodust,5813
Rohde,5890
Rolin,6684
Ropé,6694
Ropė,6694
Rosati,5512
Rozière,6357
Ruas,6362
Ruohonen-Lerner,6718
Rübig,4596
Sakorafa,6674
Salafranca Sánchez-Neyra,3991
Salini,6698
Salvini,5522
Sander,6370
Sant,6415
Sargentini,5987
Sarvamaa,6259
Saryusz-Wolski,5416
Sassoli,6036
Saudargas,5877
Saïfi,4768
Schaake,6100
Schaffhauser,6389
Schaldemose,5713
Schirdewan,6758
Schlein,6438
Schmidt,6619
Scholz,5837
Schreijer-Pierik,6636
Schulz,3825
Schulze,6443
Schuster,6475
Schwab,5345
Schöpflin,5265
Scott Cato,6560
Scotta',6134
Scottà,6134
Sebastià,6659
Sehnalová,5897
Selimovic,6722
Sellström,6781
Senra Rodríguez,6655
Sernagiotto,6428
Serrão Santos,6375
Seymour,6568
Siekierski,5111
Silva Pereira,6381
Simon Peter,6008
Simon Siôn,6566
Sippel,6093
Smith,5571
Smolková,5844
Solé,6738
Sommer,4705
Sonik,5418
Sonneborn,6471
Soru,6498
Sosa Wagner,6174
Sośnierz,6768
Spinelli,6444
Spyraki,6663
Staes,4983
Stanishev,6490
Starbatty,6464
Steinruck,6003
Stevens,6682
Stier,6302
Stihler,4949
Stolojan,5778
Stuger,6634
Stylianides,6320
Sulík,6546
Svoboda,6672
Swinburne,6088
Sylikiotis,6321
Synadinos,6670
Szanyi,6334
Szejnfeld,6528
Szájer,5143
Sánchez Caldentey,6641
Sârbu,5653
Sógor,5781
Tajani,4482
Takkula,5435
Tamburrano,6447
Tang,6623
Tannock,4925
Tapardel,6427
Tarabella,5624
Tarand,6168
Taylor,6204
Telička,6337
Terho,6220
Terricabras,6549
Theocharous,5207
Theurer,6042
Thomas,6282
Thun und Hohenstein,5949
Thyssen,3738
Toia,5459
Tolić,6733
Tomaševski,5878
Tomašić,6300
Tomc,6681
Toom,6331
Torres Martínez,6716
Torvalds,6281
Toti,6398
Tošenovský,5892
Trebesius,6466
Tremosa i Balcells,6181
Troszczynski,6392
Trüpel,5360
Turmes,4847
Tørnæs,6518
Tănăsescu,6019
Tőkés,5783
Ujazdowski,5113
Ujhelyi,6336
Ulvskog,5859
Ungureanu,6007
Urbán Crespo,6715
Urtasun,6591
Urtasun Domènech,6591
Urutchev,5734
Uspaskich,5879
Vaidere,5600
Vajgl,6151
Valcárcel,6638
Valcárcel Siso,6638
Valenciano,4757
Valenciano Martínez-Orozco,4757
Valero,6605
Valli,6412
Vallina,6656
Van Bossuyt,6711
Van Brempt,4990
Van Orden,4917
Van Overtveldt,6683
Vana,6551
Vandenkendelaere,6706
Vaughan,6086
Vautmans,6710
Vehkaperä,6774
Vergiat,6030
Verheyen,5930
