mepid,mep,result,group,identifier
5350,Deß,for,PPE,93002
5998,Deutsch,for,PPE,93002
5515,Díaz de Mera García Consuegra,for,PPE,93002
6762,Didier,for,PPE,93002
5960,Dorfmann,for,PPE,93002
5348,Ehler,for,PPE,93002
6047,Engel,for,PPE,93002
6342,Erdős,for,PPE,93002
6679,Faria,for,PPE,93002
3833,Ferber,for,PPE,93002
6068,Fernandes,for,PPE,93002
5256,Fjellner,for,PPE,93002
4659,Gahler,for,PPE,93002
5280,Gál,for,PPE,93002
5803,Gardini,for,PPE,93002
6441,Gieseke,for,PPE,93002
6111,Girling,for,PPE,93002
5342,Gräßle,for,PPE,93002
4032,Grossetête,for,PPE,93002
5109,Grzyb,for,PPE,93002
6596,Hayes,for,PPE,93002
5953,Hohlmeier,for,PPE,93002
5254,Hökmark,for,PPE,93002
6346,Hölvényi,for,PPE,93002
5952,Hübner,for,PPE,93002
5945,Jahr,for,PPE,93002
5954,Jazłowiecka,for,PPE,93002
6360,Joulaud,for,PPE,93002
6055,Juvin,for,PPE,93002
6095,Kalniete,for,PPE,93002
4669,Karas,for,PPE,93002
6666,Kefalogiannis,for,PPE,93002
5542,Kelam,for,PPE,93002
5855,Kelly,for,PPE,93002
3759,Koch,for,PPE,93002
6001,Kósa,for,PPE,93002
6527,Kozłowska-Rajewicz,for,PPE,93002
5403,Kudrycka,for,PPE,93002
5940,Kuhn,for,PPE,93002
5840,Kukan,for,PPE,93002
6662,Kyrtsos,for,PPE,93002
1350,Lamassoure,for,PPE,93002
5727,de Lange,for,PPE,93002
3856,Langen,for,PPE,93002
5988,La Via,for,PPE,93002
6363,Lavrilleux,for,PPE,93002
5517,López-Istúriz White,for,PPE,93002
5964,Łukacijewska,for,PPE,93002
6440,McAllister,for,PPE,93002
6303,Maletić,for,PPE,93002
6245,Malinov,for,PPE,93002
6761,Mandl,for,PPE,93002
3845,Mann,for,PPE,93002
5646,Marinescu,for,PPE,93002
6465,Martusciello,for,PPE,93002
6721,Maullu,for,PPE,93002
