date,code,status,reference,name,baseurl,extensions
2015-06-10,LP,final,P8_PV(2015)06-10(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/06-10/liste_presence/xml/P8_PV(2015)06-10(LP)_FR,pdf|xml
2015-06-09,LP,final,P8_PV(2015)06-09(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/06-09/liste_presence/xml/P8_PV(2015)06-09(LP)_FR,pdf|xml
2015-06-08,LP,final,P8_PV(2015)06-08(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/06-08/liste_presence/xml/P8_PV(2015)06-08(LP)_FR,pdf|xml
2015-05-27,LP,final,P8_PV(2015)05-27(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-27/liste_presence/xml/P8_PV(2015)05-27(LP)_FR,pdf|xml
2015-05-21,LP,final,P8_PV(2015)05-21(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-21/liste_presence/xml/P8_PV(2015)05-21(LP)_FR,pdf|xml
2015-05-20,LP,final,P8_PV(2015)05-20(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-20/liste_presence/xml/P8_PV(2015)05-20(LP)_FR,pdf|xml
2015-05-19,LP,final,P8_PV(2015)05-19(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-19/liste_presence/xml/P8_PV(2015)05-19(LP)_FR,pdf|xml
2015-05-18,LP,final,P8_PV(2015)05-18(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-18/liste_presence/xml/P8_PV(2015)05-18(LP)_FR,pdf|xml
2015-04-30,LP,final,P8_PV(2015)04-30(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-30/liste_presence/xml/P8_PV(2015)04-30(LP)_FR,pdf|xml
2015-04-29,LP,final,P8_PV(2015)04-29(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-29/liste_presence/xml/P8_PV(2015)04-29(LP)_FR,pdf|xml
2015-04-28,LP,final,P8_PV(2015)04-28(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-28/liste_presence/xml/P8_PV(2015)04-28(LP)_FR,pdf|xml
2015-04-27,LP,final,P8_PV(2015)04-27(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-27/liste_presence/xml/P8_PV(2015)04-27(LP)_FR,pdf|xml
2015-04-15,LP,final,P8_PV(2015)04-15(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-15/liste_presence/xml/P8_PV(2015)04-15(LP)_FR,pdf|xml
2015-03-25,LP,final,P8_PV(2015)03-25(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-25/liste_presence/xml/P8_PV(2015)03-25(LP)_FR,pdf|xml
2015-03-12,LP,final,P8_PV(2015)03-12(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-12/liste_presence/xml/P8_PV(2015)03-12(LP)_FR,pdf|xml
2015-03-11,LP,final,P8_PV(2015)03-11(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-11/liste_presence/xml/P8_PV(2015)03-11(LP)_FR,pdf|xml
2015-03-10,LP,final,P8_PV(2015)03-10(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-10/liste_presence/xml/P8_PV(2015)03-10(LP)_FR,pdf|xml
2015-03-09,LP,final,P8_PV(2015)03-09(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-09/liste_presence/xml/P8_PV(2015)03-09(LP)_FR,pdf|xml
2015-02-25,LP,final,P8_PV(2015)02-25(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-25/liste_presence/xml/P8_PV(2015)02-25(LP)_FR,pdf|xml
2015-02-12,LP,final,P8_PV(2015)02-12(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-12/liste_presence/xml/P8_PV(2015)02-12(LP)_FR,pdf|xml
2015-02-11,LP,final,P8_PV(2015)02-11(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-11/liste_presence/xml/P8_PV(2015)02-11(LP)_FR,pdf|xml
2015-02-10,LP,final,P8_PV(2015)02-10(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-10/liste_presence/xml/P8_PV(2015)02-10(LP)_FR,pdf|xml
2015-02-09,LP,final,P8_PV(2015)02-09(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-09/liste_presence/xml/P8_PV(2015)02-09(LP)_FR,pdf|xml
2015-01-28,LP,final,P8_PV(2015)01-28(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-28/liste_presence/xml/P8_PV(2015)01-28(LP)_FR,pdf|xml
2015-01-15,LP,final,P8_PV(2015)01-15(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-15/liste_presence/xml/P8_PV(2015)01-15(LP)_FR,pdf|xml
2015-01-14,LP,final,P8_PV(2015)01-14(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-14/liste_presence/xml/P8_PV(2015)01-14(LP)_FR,pdf|xml
2015-01-13,LP,final,P8_PV(2015)01-13(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-13/liste_presence/P8_PV(2015)01-13(LP)_FR,pdf|doc|xml
2015-01-12,LP,final,P8_PV(2015)01-12(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-12/liste_presence/xml/P8_PV(2015)01-12(LP)_FR,pdf|xml
2014-12-18,LP,final,P8_PV(2014)12-18(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/12-18/liste_presence/xml/P8_PV(2014)12-18(LP)_FR,pdf|xml
2014-12-17,LP,final,P8_PV(2014)12-17(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/12-17/liste_presence/xml/P8_PV(2014)12-17(LP)_FR,pdf|xml
2014-12-16,LP,final,P8_PV(2014)12-16(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/12-16/liste_presence/xml/P8_PV(2014)12-16(LP)_FR,pdf|xml
2014-12-15,LP,final,P8_PV(2014)12-15(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/12-15/liste_presence/xml/P8_PV(2014)12-15(LP)_FR,pdf|xml
2014-11-27,LP,final,P8_PV(2014)11-27(LP),LISTE DE PRÉSENCE,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2014/11-27/liste_presence/xml/P8_PV(2014)11-27(LP)_FR,pdf|xml
