name,id,first,last
Cornillet,4338,2017-05-31,2018-07-05
Corrao,124856,2014-07-01,2018-07-05
Costa,96917,2014-07-01,2018-03-01
Couso Permuy,125997,2014-07-16,2018-07-05
Cozzolino,96880,2014-07-01,2018-07-05
Cramer,28238,2014-07-01,2018-07-05
Creţu,33997,2014-07-01,2014-10-22
Cristea,40224,2014-07-01,2018-07-05
Crowley,2109,2014-07-03,2018-07-05
Csáky,124930,2014-07-01,2018-07-05
Czarnecki,28372,2014-07-01,2018-07-05
Czesak,132925,2015-06-24,2018-07-05
D'Amato,124835,2014-07-01,2018-07-05
D'Ornano,124750,2014-07-01,2018-07-05
Dalton,35135,2015-01-12,2018-07-05
Dalunde,183338,2016-06-07,2018-07-05
Dan Nica,124784,2018-02-05,2018-07-05
Dance,124952,2014-07-01,2018-07-05
Danjean,96747,2014-07-01,2018-07-05
Danti,124821,2014-07-01,2018-07-05
Dantin,97296,2014-07-01,2018-07-05
Dati,72775,2014-07-01,2018-07-05
David Martin,1403,2014-07-01,2018-07-05
De Backer,109337,2014-07-01,2016-04-28
De Castro,96891,2014-07-01,2018-07-05
De Masi,124858,2014-07-01,2017-07-06
De Monte,124803,2014-07-01,2018-07-05
Delahaye,124732,2014-07-01,2018-07-05
Deli,124714,2014-07-01,2018-07-05
Delli,96868,2014-07-01,2018-07-05
Delvaux,124776,2014-07-14,2018-07-05
Delvaux-Stehres,124776,2014-07-01,2014-07-03
Demesmaeker,117477,2014-07-01,2018-07-05
Demetris Papadakis,124692,2014-07-01,2018-07-05
Denanot,94282,2014-07-01,2018-05-31
Deprez,1473,2014-07-01,2018-07-05
Detjen,190799,2018-01-15,2018-07-05
Deutsch,96826,2014-07-01,2018-07-05
Deva,4556,2014-07-01,2018-06-13
Deß,28228,2014-07-01,2018-07-05
Diaconu,124805,2014-07-01,2018-06-14
Diane Dodds,96951,2014-07-01,2017-05-17
Diane James,124939,2017-05-15,2018-03-01
Didier,190774,2017-12-11,2018-07-05
Dlabajová,124709,2014-07-01,2018-07-05
Dodds,96951,2017-05-15,2018-07-05
Dohrmann,124878,2014-07-01,2018-07-05
Dombrovskis,28618,2014-07-01,2014-10-23
Dominique Martin,124751,2014-07-01,2018-07-05
Donchev,124843,2014-07-01,2014-10-23
Dorfmann,96787,2014-07-01,2018-07-05
Drăghici,124786,2014-07-01,2018-07-04
