date,code,status,reference,name,baseurl,extensions
2018-05-03,minute,final,P8_PV(2018)05-03,"Procès-verbal - Séance plénière - Jeudi, 03 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-03/liste_presence/P8_PV(2018)05-03_FR,pdf|xml|docx
2018-05-02,minute,final,P8_PV(2018)05-02,"Procès-verbal - Séance plénière - Mercredi, 02 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-02/liste_presence/P8_PV(2018)05-02_FR,pdf|xml|docx
2018-04-19,minute,final,P8_PV(2018)04-19,"Procès-verbal - Séance plénière - Jeudi, 19 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-19/liste_presence/P8_PV(2018)04-19_FR,pdf|xml|docx
2018-04-18,minute,final,P8_PV(2018)04-18,"Procès-verbal - Séance plénière - Mercredi, 18 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-18/liste_presence/P8_PV(2018)04-18_FR,pdf|xml|docx
2018-04-17,minute,final,P8_PV(2018)04-17,"Procès-verbal - Séance plénière - Mardi, 17 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-17/liste_presence/P8_PV(2018)04-17_FR,pdf|xml|docx
2018-04-16,minute,final,P8_PV(2018)04-16,"Procès-verbal - Séance plénière - Lundi, 16 avril 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/04-16/liste_presence/P8_PV(2018)04-16_FR,pdf|xml|docx
2018-03-15,minute,final,P8_PV(2018)03-15,"Procès-verbal - Séance plénière - Jeudi, 15 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-15/liste_presence/P8_PV(2018)03-15_FR,pdf|xml|docx
2018-03-14,minute,final,P8_PV(2018)03-14,"Procès-verbal - Séance plénière - Mercredi, 14 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-14/liste_presence/P8_PV(2018)03-14_FR,pdf|xml|docx
2018-03-13,minute,final,P8_PV(2018)03-13,"Procès-verbal - Séance plénière - Mardi, 13 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-13/liste_presence/P8_PV(2018)03-13_FR,pdf|xml|docx
2018-03-12,minute,final,P8_PV(2018)03-12,Procès-verbal - Séance plénière - 12/03/2018,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-12/liste_presence/P8_PV(2018)03-12_FR,pdf|xml|docx
2018-03-01,minute,final,P8_PV(2018)03-01,"Procès-verbal - Séance plénière - Jeudi, 01 mars 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/03-01/liste_presence/P8_PV(2018)03-01_FR,pdf|xml|docx
2018-02-28,minute,final,P8_PV(2018)02-28,"Procès-verbal - Séance plénière - Mercredi, 28 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-28/liste_presence/P8_PV(2018)02-28_FR,pdf|xml|docx
2018-02-08,minute,final,P8_PV(2018)02-08,"Procès-verbal - Séance plénière - Jeudi, 08 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-08/liste_presence/P8_PV(2018)02-08_FR,pdf|xml|docx
2018-02-07,minute,final,P8_PV(2018)02-07,"Procès-verbal - Séance plénière - Mercredi, 07 février 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/02-07/liste_presence/P8_PV(2018)02-07_FR,pdf|xml|docx
